Symbol,Open,High,Low,PREV. CLOSE,LTP,chng,%Chng,Volume(shares),Value(₹ Crores),52W H,52W L,30 d  %chng,Today,undefined,RSI
NESTLEIND,"2,518.00","2,518.00","2,452.65","2,509.85","2,475.20",-34.65,-1.38,"9,72,139",240.06,"2,769.30","2,145.00",2.13,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-88.442.13,2.13,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-88.44,,2.13,,,,,,,,,,,,100.00
M&M,"2,745.00","2,761.90","2,670.90","2,740.95","2,699.00",-41.95,-1.53,"49,92,460","1,350.47","2,761.90","1,363.00",23.19,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng94.2323.19,23.19,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,94.23,,23.19,,,,,,,,,,,,100.00
ASIANPAINT,"2,960.00","2,961.75","2,882.25","2,961.75","2,910.00",-51.75,-1.75,"16,89,113",492.89,"3,568.00","2,670.10",1.01,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-7.811.01,1.01,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-7.81,,1.01,,,,,,,,,,,,100.00
HINDUNILVR,"2,600.00","2,600.00","2,518.00","2,602.75","2,555.00",-47.75,-1.83,"41,02,546","1,043.52","2,769.65","2,172.05",15.36,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-3.2815.36,15.36,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-3.28,,15.36,,,,,,,,,,,,100.00
HEROMOTOCO,"5,655.10","5,735.45","5,472.35","5,658.50","5,535.00",-123.50,-2.18,"14,98,099",830.49,"5,775.20","2,745.05",25.47,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng94.8025.47,25.47,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,94.80,,25.47,,,,,,,,,,,,100.00
HINDALCO,695.00,695.00,673.00,695.25,678.75,-16.50,-2.37,"1,04,20,227",709.98,715.25,407.45,8.84,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng67.318.84,8.84,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,67.31,,8.84,,,,,,,,,,,,100.00
